"14491: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2023K4";55.7;.;4.7
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2024K1";53.5;.;6.3
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2024K2";49.7;.;5.6
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2024K3";47.4;.;6.7
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2024K4";49.9;.;6.6
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2025K1";58.4;.;7.2
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2025K2";54.4;.;8.3
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2012K1";32.1;.;89.1
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2012K2";23.8;.;83.1
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2012K3";16.7;.;82.2
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2012K4";31.2;.;81.1
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2013K1";33.8;.;86.8
"2.2 Kontrakter tilknyttet elspotprisen, tjenesteytende næringer";"2013K2";33.7;.;85.7
